,Unnamed: 0,id,producer,title,tracks,type,associated_labels,name,bit_rate,composer,duration,genre_top,genres,genres_all,license,number,tags.2,title.1
271,1,1680.0,,Favorite Works,2.0,Album,,Paul Pitman,256000.0,Robert Schumann,164.0,Classical,[5],[5],Public Domain,6.0,[],"Preludes, Book 2 - "
272,2,1680.0,,Favorite Works,2.0,Album,,Paul Pitman,256000.0,Robert Schumann,236.0,Classical,[5],[5],Public Domain,4.0,[],"Preludes, Book 2 - La puerta del Vino"
444,3,1883.0,,'Percussion' As Percussion,16.0,Album,,Jarrod Fowler,256000.0,,240.0,Experimental,[32],"[32, 38]",Creative Commons Attribution,3.0,[],Introduction: (Re)percussions
445,4,1883.0,,'Percussion' As Percussion,16.0,Album,,Jarrod Fowler,256000.0,,180.0,Experimental,[32],"[32, 38]",Creative Commons Attribution,4.0,[],The End of Senseless Beating
446,5,1883.0,,'Percussion' As Percussion,16.0,Album,,Jarrod Fowler,256000.0,,10.0,Experimental,[32],"[32, 38]",Creative Commons Attribution,5.0,[],Knocking the Subject
447,6,1883.0,,'Percussion' As Percussion,16.0,Album,,Jarrod Fowler,256000.0,,237.0,Experimental,[32],"[32, 38]",Creative Commons Attribution,11.0,[],Index
448,7,1883.0,,'Percussion' As Percussion,16.0,Album,,Jarrod Fowler,256000.0,,23.0,Experimental,[32],"[32, 38]",Creative Commons Attribution,9.0,[],Notes
449,8,1883.0,,'Percussion' As Percussion,16.0,Album,,Jarrod Fowler,256000.0,,300.0,Experimental,[32],"[32, 38]",Creative Commons Attribution,6.0,[],Different Strokes for Different Folks
450,9,1883.0,,'Percussion' As Percussion,16.0,Album,,Jarrod Fowler,256000.0,,70.0,Experimental,[32],"[32, 38]",Creative Commons Attribution,7.0,[],Sound of the City:  A Musician is Being Beaten
451,10,1883.0,,'Percussion' As Percussion,16.0,Album,,Jarrod Fowler,256000.0,,10.0,Experimental,[32],"[32, 38]",Creative Commons Attribution,12.0,[],Afterword
