,Unnamed: 0,id,producer,title,tracks,type,associated_labels,name,bit_rate,composer,duration,genre_top,genres,genres_all,license,number,tags.2,title.1
0,track_id,,,,,,,,,,,,,,,,,
69,2209,-1.0,,,-1.0,,"Awesome Vistas, Smells Delicious, Freedom to Spend, OMS-B",Dragging an Ox Through Water,192000.0,,182.0,Folk,[17],[17],Attribution,0.0,[],Plaisir D'Amour (feat. Dana Dart Maclean)
70,2210,1801.0,,Parsley Flakes mp3s,2.0,Single Tracks,Hewhocorrupt Inc.,Parsley Flakes,192000.0,,130.0,Rock,[64],"[64, 25, 12]",Attribution,0.0,[],Lady Love
71,2211,1801.0,,Parsley Flakes mp3s,2.0,Single Tracks,Hewhocorrupt Inc.,Parsley Flakes,192000.0,,154.0,Rock,[64],"[64, 25, 12]",Attribution,0.0,[],"Remember, Forget"
72,2212,397.0,,unreleased Rok/Paper/Disco mp3s,8.0,Single Tracks,,Rok/Paper/Disco,320000.0,,333.0,Rock,[58],"[58, 12]",Attribution,0.0,[],Getting Older
73,2213,-1.0,,,-1.0,,,The Tleilaxu Music Machine,256000.0,,305.0,Electronic,[15],[15],Attribution,0.0,[],Amziguous
74,2214,-1.0,,,-1.0,,,The Tleilaxu Music Machine,256000.0,,253.0,Electronic,[15],[15],Attribution,0.0,[],Bizzy
83,2215,-1.0,,,-1.0,,,Antiguo Automata Mexicano,256000.0,,312.0,Electronic,[15],[15],Attribution,2.0,[],"Rother, Dinger You and Me"
84,2216,-1.0,,,-1.0,,,Antiguo Automata Mexicano,256000.0,,390.0,Electronic,[15],[15],Attribution,3.0,[],Co-Opt
85,2217,-1.0,,,-1.0,,,Antiguo Automata Mexicano,256000.0,,421.0,Electronic,[15],[15],Attribution,4.0,[],Kraut Slut aka Motorik Bitch aka DJ with Kids
86,2218,-1.0,,,-1.0,,,Antiguo Automata Mexicano,256000.0,,317.0,Electronic,[15],[15],Attribution,5.0,[],The Order (aam arkestra mix)
